paper_id,title,authors,year,citation_count,abstract,url,venue,keyword
08faf88c9a141f3fe7e7b0b20f2cfc0766a7b5de,Self-attention neural network for solving correlated electron problems in solids,Anonymous,2025,17,,https://www.semanticscholar.org/paper/08faf88c9a141f3fe7e7b0b20f2cfc0766a7b5de,Physical review B,self-attention neural network
f1c4104e319d43d09edb7efa072188649033ff7e,Three-dimensional DenseNet self-attention neural network for automatic detection of student’s engagement,"Naval Kishore Mehta, Shyam Sunder Prasad, Sumeet Saurav, Ravi Saini, Sanjay Singh",2022,81,"Today, due to the widespread outbreak of the deadly coronavirus, popularly known as COVID-19, the traditional classroom education has been shifted to computer-based learning. Students of various cognitive and psychological abilities participate in the learning process. However, most students are hesitant to provide regular and honest feedback on the comprehensiveness of the course, making it difficult for the instructor to ensure that all students are grasping the information at the same rate. The students’ understanding of the course and their emotional engagement, as indicated via facial expressions, are intertwined. This paper attempts to present a three-dimensional DenseNet self-attention neural network (DenseAttNet) used to identify and evaluate student participation in modern and traditional educational programs. With the Dataset for Affective States in E-Environments (DAiSEE), the proposed DenseAttNet model outperformed all other existing methods, achieving baseline accuracy of 63.59% for engagement classification and 54.27% for boredom classification, respectively. Besides, DenseAttNet trained on all four multi-labels, namely boredom, engagement, confusion, and frustration has registered an accuracy of 81.17%, 94.85%, 90.96%, and 95.85%, respectively. In addition, we performed a regression experiment on DAiSEE and obtained the lowest Mean Square Error (MSE) value of 0.0347. Finally, the proposed approach achieves a competitive MSE of 0.0877 when validated on the Emotion Recognition in the Wild Engagement Prediction (EmotiW-EP) dataset.",https://www.semanticscholar.org/paper/f1c4104e319d43d09edb7efa072188649033ff7e,,self-attention neural network
c9bf25b0e06610439a39dc1fde2278c0c54522f3,Solving the fractional quantum Hall problem with self-attention neural network,"Yi Teng, David D. Dai, Liang Fu",2024,27,"We introduce an attention-based fermionic neural network (FNN) to variationally solve the problem of two-dimensional Coulomb electron gas in magnetic fields, a canonical platform for fractional quantum Hall (FQH) liquids, Wigner crystals and other unconventional electron states. Working directly with the full Hilbert space of $N$ electrons confined to a disk, our FNN consistently attains energies lower than LL-projected exact diagonalization (ED) and learns the ground state wavefunction to high accuracy. In low LL mixing regime, our FNN reveals microscopic features in the short-distance behavior of FQH wavefunction beyond the Laughlin ansatz. For moderate and strong LL mixing parameters, the FNN outperforms ED significantly. Moreover, a phase transition from FQH liquid to a crystal state is found at strong LL mixing. Our study demonstrates unprecedented power and universality of FNN based variational method for solving strong-coupling many-body problems with topological order and electron fractionalization.",https://www.semanticscholar.org/paper/c9bf25b0e06610439a39dc1fde2278c0c54522f3,Physical review B,self-attention neural network
cf0ea9501a8bb51a2a788c48d18c4aea1b14c00b,Crystallographic phase identifier of a convolutional self-attention neural network (CPICANN) on powder diffraction patterns,"Shouyang Zhang, Bin Cao, Tianhao Su, Yue Wu, Zhenjie Feng, Jie Xiong, Tong-yi Zhang",2024,8,"The development of CPICANN, a novel convolutional self-attention neural network, represents a groundbreaking approach in materials informatics. By leveraging the convolutional self-attention mechanism, CPICANN automates and significantly enhances the efficiency of crystal phase identification from whole X-ray powder diffraction patterns, marking a substantial advancement over traditional time-consuming methods.",https://www.semanticscholar.org/paper/cf0ea9501a8bb51a2a788c48d18c4aea1b14c00b,IUCrJ,self-attention neural network
a8a32811ce235e4a11dbfb120a904ce9f91e015c,A new deep self-attention neural network for GNSS coordinate time series prediction,"Weiping Jiang, Jian Wang, Zhao Li, Wudong Li, Peng Yuan",2023,19,,https://www.semanticscholar.org/paper/a8a32811ce235e4a11dbfb120a904ce9f91e015c,GPS Solutions,self-attention neural network
b0ad61c7d61e01045511b0175f3c11255bd200bb,Fast GraspNeXt: A Fast Self-Attention Neural Network Architecture for Multi-task Learning in Computer Vision Tasks for Robotic Grasping on the Edge,"Alexander Wong, Yifan Wu, Saad Abbasi, Saeejith Nair, Yuhao Chen, M. Shafiee",2023,16,"Multi-task learning has shown considerable promise for improving the performance of deep learning-driven vision systems for the purpose of robotic grasping. However, high architectural and computational complexity can result in poor suitability for deployment on embedded devices that are typically leveraged in robotic arms for real-world manufacturing and warehouse environments. As such, the design of highly efficient multi-task deep neural network architectures tailored for computer vision tasks for robotic grasping on the edge is highly desired for widespread adoption in manufacturing environments. Motivated by this, we propose Fast GraspNeXt, a fast self-attention neural network architecture tailored for embedded multi-task learning in computer vision tasks for robotic grasping. To build Fast GraspNeXt, we leverage a generative network architecture search strategy with a set of architectural constraints customized to achieve a strong balance between multitask learning performance and embedded inference efficiency. Experimental results on the MetaGraspNet benchmark dataset show that the Fast GraspNeXt network design achieves the highest performance (average precision (AP), accuracy, and mean squared error (MSE)) across multiple computer vision tasks when compared to other efficient multi-task network architecture designs, while having only 17.8M parameters (about >5× smaller), 259 GFLOPs (as much as >5× lower) and as much as >3.15× faster on a NVIDIA Jetson TX2 embedded processor.",https://www.semanticscholar.org/paper/b0ad61c7d61e01045511b0175f3c11255bd200bb,,self-attention neural network
6c436f1945e8e8bbea59ebc96579fdbc87a65d56,A novel dual-stream self-attention neural network for remaining useful life estimation of mechanical systems,"Danyang Xu, H. Qiu, Liang Gao, Zan Yang, Dapeng Wang",2022,59,,https://www.semanticscholar.org/paper/6c436f1945e8e8bbea59ebc96579fdbc87a65d56,Reliability Engineering & System Safety,self-attention neural network
abb0e4a4005494d9d0e7079ee70f25c043d6e468,Design of a Quantum Self-Attention Neural Network on Quantum Circuits,"Jin Zheng, Qing Gao, Zibo Miao",2023,7,"This paper proposes a quantum self-attention neural network (QSAN) model that can be deployed on quantum circuits, providing a novel avenue to processing text classification tasks in natural language processing (NLP). The QSAN framework is established by integrating four basic blocks: the data preprocessing block, the quantum encoding block, the model design block, and the network optimization block. Simulation results demonstrate remarkable convergence and accuracy on various text classification datasets. In particular, the proposed QSAN surpasses the existing state-of-the-art quantum NLP (QNLP) model in terms of test accuracy.",https://www.semanticscholar.org/paper/abb0e4a4005494d9d0e7079ee70f25c043d6e468,"IEEE International Conference on Systems, Man and Cybernetics",self-attention neural network
fe075134c219736204be4398543e923692d4b243,Povm-Based Quantum Self-Attention Neural Network,"Jiachun Wei, Zhimin He, Chuangtao Chen, Maijie Deng, Haozhen Situ",2023,4,"Quantum Self-Attention Neural Network (QSANN) has demonstrated remarkable potential. However, it is limited to measuring only partial information from qubits, thereby restricting its information extraction capability. Moreover, the measurement process requires multiple measurements for each qubit, leading to inefficiency in utilizing the feature space. To address these challenges, this paper introduces a novel approach called Positive Operator-Valued Measure based Quantum Self-Attention Neural Network (POVM-QSANN). It leverages POVM operators as observables, enabling the extraction of comprehensive QKV (Query-Key-Value) feature vectors from each qubit. This innovative mechanism significantly enhances information extraction capability and efficiently utilizes the feature space. The experimental results underscore the considerable advancements of POVM-QSANN on MC and RP datasets. Particularly noteworthy is its remarkable accuracy increase of 9.68% compared to QSANN on the RP dataset.",https://www.semanticscholar.org/paper/fe075134c219736204be4398543e923692d4b243,International Conference on Wavelet Analysis and Pattern Recognition,self-attention neural network
e6b1071385a4998ed97a3aa9f8507900abd6d9a4,WINDFORMER: Self-Attention Neural Network for Wind Retrieval,"Nicolae-Cătălin Ristea, A. Anghel, Amine Benchaabane, Romain Husson, A. Grouazel, Mihai Datcu, A. Rădoi, Nicolas Longépé",2025,0,"The wind field is a critical factor in the study of global and local climate dynamics, as well as marine environmental processes. It is a key component in understanding ocean thermohaline circulation, land-sea interactions, tropical cyclones, storm surges, and climate forecasting. To this end, multiple solutions have been proposed to provide technical support for obtaining global sea surface wind field information. However, both algorithmic and deep learning-based frameworks have limitations in terms of prior mandatory information or estimation accuracy. In this paper, we propose a transformer-based deep learning model, namely WindFormer, to accurately retrieve the absolute value of the wind speed, without any prior assumption about local wind patterns. Our approach surpasses the deployed Sentinel-1 Ocean Wind Fields (OWI) algorithm with 0.49 m/s, as well as other state-of-the-art deep learning methods, on our developed data set.",https://www.semanticscholar.org/paper/e6b1071385a4998ed97a3aa9f8507900abd6d9a4,IEEE International Geoscience and Remote Sensing Symposium,self-attention neural network
